StudyID,Author_F,YearPublication,Journal,Medium_start_year,Long_start_year,Title
1,Hao,2023,Science of The Total Environment,4,11,Are there universal soil responses to cover cropping? A systematic review
2,Herzog,2019,"Agriculture, Ecosystems & Environment",4,9,Are there universal soil responses to cover cropping? A systematic review
3,Joshi,2023,Agronomy Journal,6,11,A global meta-analysis of cover crop response on soil carbon  storage within a corn production system
4,Huang,2018,"Agriculture, Ecosystems & Environment",5,11,Greenhouse gas emissions and crop yield in no-tillage systems: A meta-analysis
5,Blanco-Canqui,2020,Soil Science Society of America Journal,4,11,Cover crop impacts on soil physical properties: A review
6,Karki,2025,"Acta Agriculturae Scandinavica, Section B ¡ª Soil & Plant Science",5,11,Greenhouse gas emissions under conservation agriculture: a synthesis of field observations on integrating conservation tillage and cover crops
7,Dong,2025,Environmental Research Letters,4,,Integrated response of crop yields and greenhouse gas emissions to cropland management practices and natural factors: a global meta-analysis
8,Blanco-Canqui,2023,Soil Use and Management,5,11,Do organic farming practices improve soil physical properties?
9,Blanco-Canqui,2021,Soil Science Society of America Journal,5,11,Can cover crops improve soil ecosystem services in water-limited environments? A review
10,Wu,2025,Nature Food,5,10,Crop rotation increases Tibetan barley yield and soil quality on the Tibetan Plateau
11,McClelland,2020,Ecological Applications,3,10,Management of cover crops in temperate climates influences soil organic carbon stocks: a meta-analysis
13,Huang,2025,Global Change Biology,3,6,Reduced erosion augments soil carbon storage under cover crops
14,Blanco-Canqui,2023,Plant and Soil,5,11,Do cover crop mixtures improve soil physical health more than monocultures?
16,Hu,2023,"Agriculture, Ecosystems & Environment",5,10,"Soil organic carbon fractions in response to soil, environmental and agronomic factors under cover cropping systems: A global meta-analysis"
17,Nunes,2020,Geoderma,3,11,Biological soil health indicators respond to tillage intensity: A US meta-analysis
18,Daryanto,2017,Scientific Reports,6,11,"Impacts of no-tillage management on nitrate loss from corn, soybean and wheat cultivation: A meta-analysis"
19,Ding,2025,Soil and Tillage Research,6,13,Depth-driven responses of soil organic carbon fractions to orchard cover crops across China: A meta-analysis
